locus,concept,concept_type,ambiguity_level,query_condition,query_count,catholic_score,secular_score,catholic_alignment_score,top_catholic_rate,mean_nearest_catholic_rank,mean_nearest_secular_rank
Freedom Truth and Moral Teleology,prudence,virtue,medium,theological,3,0.39163066148757936,0.2662625645597776,0.12536809692780176,1.0,1.0,2.6666666666666665
Freedom Truth and Moral Teleology,responsibility,moral_anthropological,high,neutral,3,0.3346484651168187,0.33728705644607543,-0.0026385913292567196,0.0,2.0,1.0
Freedom Truth and Moral Teleology,responsibility,moral_anthropological,high,theological,3,0.36814436316490173,0.2745405892531077,0.09360377391179403,1.0,1.0,2.6666666666666665
Freedom Truth and Moral Teleology,rights,social_doctrine,high,neutral,3,0.3178812603155772,0.3456706096728643,-0.02778934935728709,0.3333333333333333,2.6666666666666665,1.3333333333333333
Freedom Truth and Moral Teleology,rights,social_doctrine,high,theological,3,0.29878782331943515,0.2908519764741262,0.007935846845308958,1.0,1.0,2.3333333333333335
Freedom Truth and Moral Teleology,temperance,virtue,medium,neutral,3,0.3685179442167282,0.3729549129803975,-0.004436968763669317,1.0,1.0,2.0
Freedom Truth and Moral Teleology,temperance,virtue,medium,theological,3,0.34398764173189794,0.3241713474194209,0.019816294312477094,1.0,1.0,2.0
Freedom Truth and Moral Teleology,truth,epistemological_moral,high,neutral,3,0.36403326789538065,0.2343631943066915,0.12967007358868918,1.0,1.0,4.0
Freedom Truth and Moral Teleology,truth,epistemological_moral,high,theological,3,0.39161824186642963,0.20685863296190898,0.18475960890452062,1.0,1.0,5.333333333333333
Freedom Truth and Moral Teleology,virtue,moral_theology,medium,neutral,3,0.30874093472957614,0.31902614931265516,-0.010285214583079036,0.3333333333333333,2.3333333333333335,1.3333333333333333
Freedom Truth and Moral Teleology,virtue,moral_theology,medium,theological,3,0.3027172793944677,0.2743288924296697,0.02838838696479797,1.0,1.0,2.6666666666666665
Human Dignity and Theological Anthropology,body,anthropological,high,neutral,3,0.36387190520763396,0.3713823040326436,-0.007510398825009664,0.3333333333333333,1.6666666666666667,1.3333333333333333
Human Dignity and Theological Anthropology,body,anthropological,high,theological,3,0.3851596216360728,0.2989328642686208,0.08622675736745199,1.0,1.0,2.0
Human Dignity and Theological Anthropology,common good,social_doctrine,medium,neutral,3,0.40079570412635807,0.3150433997313182,0.08575230439503988,1.0,1.0,3.6666666666666665
Human Dignity and Theological Anthropology,common good,social_doctrine,medium,theological,3,0.3626589715480804,0.2830874760945638,0.07957149545351665,1.0,1.0,3.0
Human Dignity and Theological Anthropology,community,social_anthropological,high,neutral,3,0.33784290353457136,0.28417741556962334,0.05366548796494802,1.0,1.0,3.6666666666666665
Human Dignity and Theological Anthropology,community,social_anthropological,high,theological,3,0.4046935160954794,0.23270377914110818,0.17198973695437114,1.0,1.0,6.0
Human Dignity and Theological Anthropology,conscience,moral_anthropological,high,neutral,3,0.3108297367890676,0.27328780392805735,0.03754193286101024,1.0,1.0,2.6666666666666665
Human Dignity and Theological Anthropology,conscience,moral_anthropological,high,theological,3,0.2856442560752233,0.2160750761628151,0.0695691799124082,1.0,1.0,2.6666666666666665
Human Dignity and Theological Anthropology,creation,doctrinal_cosmological,high,neutral,3,0.40011628866195675,0.27597366720438005,0.12414262145757676,1.0,1.0,4.0
Human Dignity and Theological Anthropology,creation,doctrinal_cosmological,high,theological,3,0.38673193156719204,0.2139697546760241,0.17276217689116793,1.0,1.0,4.0
Human Dignity and Theological Anthropology,creatureliness,anthropological_doctrinal,low,neutral,3,0.3479982008536657,0.3056724886099497,0.04232571224371593,0.0,2.0,1.0
Human Dignity and Theological Anthropology,creatureliness,anthropological_doctrinal,low,theological,3,0.3555500785509745,0.2638811270395915,0.09166895151138306,0.3333333333333333,1.6666666666666667,1.3333333333333333
Human Dignity and Theological Anthropology,death,anthropological_eschatological,high,neutral,3,0.2723827968041102,0.33403400878111517,-0.061651211977005016,0.0,4.0,1.0
Human Dignity and Theological Anthropology,death,anthropological_eschatological,high,theological,3,0.3185209055741628,0.26473690718412396,0.053783998390038806,0.6666666666666666,1.3333333333333333,1.6666666666666667
Human Dignity and Theological Anthropology,disability,anthropological_social,high,neutral,3,0.26784098049004873,0.33684965272744494,-0.06900867223739623,0.0,4.0,1.0
Human Dignity and Theological Anthropology,disability,anthropological_social,high,theological,3,0.29795847137769066,0.2668957402308782,0.031062731146812444,0.3333333333333333,1.6666666666666667,1.3333333333333333
Human Dignity and Theological Anthropology,ecological responsibility,social_doctrine,medium,neutral,3,0.41524247725804647,0.3485824465751648,0.06666003068288166,1.0,1.0,3.3333333333333335
Human Dignity and Theological Anthropology,ecological responsibility,social_doctrine,medium,theological,3,0.4508136550585429,0.2947251498699188,0.15608850518862408,1.0,1.0,6.0
Human Dignity and Theological Anthropology,elderly life,anthropological_social,high,neutral,3,0.35891580482323965,0.3725177576144536,-0.013601952791213992,1.0,1.0,3.0
Human Dignity and Theological Anthropology,elderly life,anthropological_social,high,theological,3,0.32609781523545583,0.2986109713713328,0.02748684386412305,1.0,1.0,3.0
Human Dignity and Theological Anthropology,embodiment,anthropological,high,neutral,3,0.3953710416952769,0.3641445914904276,0.031226450204849265,0.6666666666666666,1.3333333333333333,2.0
Human Dignity and Theological Anthropology,embodiment,anthropological,high,theological,3,0.43321936527887983,0.2914771576722463,0.1417422076066335,1.0,1.0,4.666666666666667
Human Dignity and Theological Anthropology,free will,anthropological_moral,high,neutral,3,0.29827011028925576,0.30554770727952324,-0.007277596990267439,0.3333333333333333,1.6666666666666667,1.3333333333333333
Human Dignity and Theological Anthropology,free will,anthropological_moral,high,theological,3,0.2724428782860438,0.24146426916122435,0.03097860912481945,1.0,1.0,3.3333333333333335
Human Dignity and Theological Anthropology,human dignity,anthropological_social,medium,neutral,3,0.46887781023979186,0.2946919798851013,0.1741858303546905,1.0,1.0,4.333333333333333
Human Dignity and Theological Anthropology,human dignity,anthropological_social,medium,theological,3,0.46273275415102644,0.2393150826295217,0.22341767152150474,1.0,1.0,5.0
Human Dignity and Theological Anthropology,human person,anthropological,medium,neutral,3,0.34568685789903003,0.24849470953146616,0.09719214836756389,1.0,1.0,4.0
Human Dignity and Theological Anthropology,human person,anthropological,medium,theological,3,0.362896924217542,0.21509388089179993,0.1478030433257421,1.0,1.0,5.333333333333333
Human Dignity and Theological Anthropology,imago Dei,anthropological_doctrinal,low,neutral,3,0.45265663067499795,0.3532844215631485,0.09937220911184946,1.0,1.0,4.0
Human Dignity and Theological Anthropology,imago Dei,anthropological_doctrinal,low,theological,3,0.4364402194817861,0.32323814332485196,0.1132020761569341,1.0,1.0,4.0
Human Dignity and Theological Anthropology,migration,social_doctrine,high,neutral,3,0.2934173087279002,0.3257471432288488,-0.03232983450094858,0.6666666666666666,1.3333333333333333,1.6666666666666667
Human Dignity and Theological Anthropology,migration,social_doctrine,high,theological,3,0.2696840286254883,0.2548830062150955,0.014801022410392772,1.0,1.0,2.0
Human Dignity and Theological Anthropology,personhood,anthropological_philosophical,high,neutral,3,0.30784138639767966,0.2695690462986628,0.03827234009901683,0.3333333333333333,1.6666666666666667,1.6666666666666667
Human Dignity and Theological Anthropology,personhood,anthropological_philosophical,high,theological,3,0.3462005039056142,0.20057481576999028,0.14562568813562393,1.0,1.0,5.0
Human Dignity and Theological Anthropology,poverty,social_moral,high,neutral,3,0.2428450733423233,0.35981868108113607,-0.11697360773881277,0.0,2.0,1.0
