locus,concept,concept_type,ambiguity_level,neutral_cas,theological_cas,context_shift,neutral_top_catholic_rate,theological_top_catholic_rate,neutral_query_count,theological_query_count
Human Dignity and Theological Anthropology,rational nature,anthropological_philosophical,medium,0.05750497678915658,0.08404147724310558,0.026536500453949,1.0,1.0,3,3
Human Dignity and Theological Anthropology,soul,anthropological_doctrinal,high,0.047730799516042054,0.11525524556636813,0.06752444605032606,1.0,1.0,3,3
Human Dignity and Theological Anthropology,subsidiarity,social_doctrine,low,0.10665908952554067,0.12865478098392488,0.021995691458384217,1.0,1.0,3,3
Human Dignity and Theological Anthropology,suffering,anthropological_spiritual,high,0.011286153395970647,0.09337589244047802,0.08208973904450736,0.6666666666666666,1.0,3,3
Human Dignity and Theological Anthropology,unborn life,bioethical_anthropological,high,0.12175432840983075,0.15172287126382192,0.02996854285399117,1.0,1.0,3,3
Human Dignity and Theological Anthropology,vocation,anthropological_spiritual,medium,0.043969367941220604,0.09741533696651457,0.053445969025293964,1.0,1.0,3,3
Human Dignity and Theological Anthropology,work,social_anthropological,high,0.014619075258572894,0.1519747902949651,0.1373557150363922,0.6666666666666666,1.0,3,3
Love Communion and Sacramentality,Eucharist,sacramental,low,0.17558753192424778,0.18829940656820932,0.012711874643961535,1.0,1.0,3,3
Love Communion and Sacramentality,agape,theological_love,low,0.09856718083222706,0.16749891738096875,0.0689317365487417,0.3333333333333333,0.6666666666666666,3,3
Love Communion and Sacramentality,caritas,theological_virtue,medium,0.052648131052653,0.06594490806261698,0.013296777009963977,0.0,0.0,3,3
Love Communion and Sacramentality,charity,theological_virtue,high,-0.02687253554662067,0.08880880177021024,0.1156813373168309,0.6666666666666666,1.0,3,3
Love Communion and Sacramentality,chastity,moral_virtue,high,-0.03187432785828909,-0.03346729278564453,-0.0015929649273554447,0.0,0.0,3,3
Love Communion and Sacramentality,communion,ecclesial_sacramental,medium,0.16364765266577405,0.22641831487417222,0.06277066220839816,1.0,1.0,3,3
Love Communion and Sacramentality,compassion,moral_spiritual,medium,0.03003482222557069,0.14489446183045704,0.11485963960488635,0.6666666666666666,1.0,3,3
Love Communion and Sacramentality,covenant,biblical_theological,medium,0.1284724036852519,0.12820753057797749,-0.0002648731072744104,1.0,1.0,3,3
Love Communion and Sacramentality,enemy-love,moral_biblical,low,0.13759356041749318,0.17823410133520765,0.04064054091771446,1.0,1.0,3,3
Love Communion and Sacramentality,eros,anthropological_love,high,-0.030094326535860694,0.06051338016986846,0.09060770670572915,0.0,0.3333333333333333,3,3
