contrast_type,concept_count,mean_delta_s_c,mean_delta_s_r,mean_delta_cas,median_delta_cas,delta_cas_bootstrap_95_low,delta_cas_bootstrap_95_high,positive_delta_cas_count,positive_delta_cas_proportion,paired_sign_flip_pvalue
bare_to_general,100,0.04871406735289424,0.25791255627022014,-0.20919848891732587,-0.20912091630483765,-0.22107689638191663,-0.19736461406897843,0,0.0,4.999750012499375e-05
general_to_ambiguous,100,-0.026670576743931647,-0.26370185439246435,0.2370312776485327,0.23229484112277488,0.22565743509298064,0.24842326893495104,100,1.0,4.999750012499375e-05
general_to_label_free_theological,100,0.2900872952030376,-0.23757635690392007,0.5276636521069578,0.5154265485272502,0.509667845392599,0.5455107127165412,100,1.0,4.999750012499375e-05
label_free_to_explicit_catholic,100,0.08521299645488273,-0.05306672033911542,0.13827971679399823,0.1413429098965662,0.13170005127843765,0.14470555160033163,100,1.0,4.999750012499375e-05
general_to_integrative,100,0.1927975125042854,-0.0843605097699394,0.27715802227422476,0.27288554088804523,0.2627540278834497,0.2911031224440738,100,1.0,4.999750012499375e-05
general_to_critical,8,-0.075204845706969,-0.33023088827623204,0.255026042569263,0.2687847509631818,0.22089802249226725,0.28528742744461827,8,1.0,0.007549622518874056
