audit_id,concept,contrast_type,paraphrase_count,mean_delta_s_c,min_delta_s_c,max_delta_s_c,mean_delta_s_r,min_delta_s_r,max_delta_s_r,mean_delta_cas,min_delta_cas,max_delta_cas,delta_cas_standard_deviation,positive_delta_cas_proportion,positive_delta_s_c_proportion
freedom_autonomy,freedom,bare_to_general,3,0.07736678741921117,0.0675020484700861,0.093818662493256,0.26505417138586534,0.2603355020113486,0.2674924458709731,-0.1876873839666542,-0.1965549149809829,-0.1736737833777171,0.012277950558278216,0.0,1.0
freedom_autonomy,freedom,general_to_ambiguous,3,-0.04251667360768199,-0.1069730912921358,0.0604662873206079,-0.2767711906438403,-0.2823431345198809,-0.2677022882677258,0.23425451703615827,0.16072919697559,0.3428094218404888,0.0959614814767016,1.0,0.3333333333333333
freedom_autonomy,freedom,general_to_label_free_theological,3,0.3035790566309687,0.2724118220051802,0.3212072490898557,-0.2311724390731077,-0.2585184855901551,-0.1948216131374156,0.5347514957040764,0.5160288622272713,0.5572953172896227,0.020896918128639322,1.0,1.0
freedom_autonomy,freedom,label_free_to_explicit_catholic,3,0.12447515170143647,0.0988586748456294,0.1685744807924357,-0.07171325627375713,-0.0926111245456865,-0.0387437692563416,0.19618840797519366,0.1826435498648728,0.2073182500487774,0.012513370214880908,1.0,1.0
freedom_autonomy,freedom,general_to_integrative,3,0.2408447642451462,0.2198134048252346,0.277374448744664,-0.11140876053439147,-0.1347892495229748,-0.0932231168488244,0.35225352477953775,0.313036521674059,0.3835883639760393,0.03593030745717132,1.0,1.0
autonomy_self_governance,autonomy,bare_to_general,3,0.03159699810852563,0.0242189924354548,0.0397581921707915,0.2139016679591552,0.2115653921663105,0.2169795413375692,-0.18230466985062946,-0.188941077938131,-0.1772213491667776,0.006012243423303289,0.0,1.0
autonomy_self_governance,autonomy,general_to_ambiguous,3,-0.022942200962298268,-0.0784803339854858,0.0802611479544888,-0.2738706073588932,-0.284325312449739,-0.2621249292395259,0.25092840639659486,0.191517512383628,0.3645864604042279,0.09846461784750124,1.0,0.3333333333333333
autonomy_self_governance,autonomy,general_to_label_free_theological,3,0.29800988771095477,0.2797109219586621,0.3083465258544057,-0.24751772449292683,-0.2559248372720758,-0.2361068718915613,0.5455276122038817,0.5158177938502234,0.5642713631264815,0.026021684612629825,1.0,1.0
autonomy_self_governance,autonomy,label_free_to_explicit_catholic,3,0.12116874638726877,0.1096012719375276,0.1294910780409284,-0.04766059645032997,-0.0527355819988593,-0.0423059044048748,0.1688293428375988,0.162336853936387,0.1774313809881842,0.007765232466321206,1.0,1.0
autonomy_self_governance,autonomy,general_to_integrative,3,0.2165935079778226,0.1885568594077705,0.2527192420973875,-0.11497511353963837,-0.1371030679771867,-0.0857036244271958,0.331568621517461,0.2742604838349664,0.3748378903119202,0.05173752074799474,1.0,1.0
