audit_id,concept,primary_locus,life_death_module,comparison_register,relationship_type,condition,query_count,mean_s_c,mean_s_r,mean_cas,median_cas
happiness_subjective_wellbeing,happiness,Freedom Truth and Moral Teleology,false,subjective wellbeing,valid_but_partial,integrative,3,0.6766244087839902,0.6026873562212629,0.07393705256272731,0.07785283112641017
flourishing_psychological,flourishing,Freedom Truth and Moral Teleology,false,psychological flourishing,valid_but_partial,bare,1,0.4576368159298725,0.4743623188897799,-0.016725502959907435,-0.016725502959907435
flourishing_psychological,flourishing,Freedom Truth and Moral Teleology,false,psychological flourishing,valid_but_partial,natural_general,3,0.5445077425140549,0.7462815497417153,-0.20177380722766045,-0.19712685529224194
flourishing_psychological,flourishing,Freedom Truth and Moral Teleology,false,psychological flourishing,valid_but_partial,natural_ambiguous,3,0.5327556886436456,0.5309319298550572,0.001823758788588407,-0.04006300984916744
flourishing_psychological,flourishing,Freedom Truth and Moral Teleology,false,psychological flourishing,valid_but_partial,label_free_theological,3,0.7950031351668706,0.5634110796106674,0.2315920555562031,0.2414873851355248
flourishing_psychological,flourishing,Freedom Truth and Moral Teleology,false,psychological flourishing,valid_but_partial,explicit_catholic,3,0.9158903301680953,0.4902129119888277,0.4256774181792676,0.4316742602808041
flourishing_psychological,flourishing,Freedom Truth and Moral Teleology,false,psychological flourishing,valid_but_partial,integrative,3,0.7166083727451044,0.6884273372501548,0.028181035494949547,0.0250140401588842
virtue_character_psychology,virtue,Freedom Truth and Moral Teleology,false,positive character traits,valid_but_partial,bare,1,0.48810167291348733,0.4990621527293255,-0.010960479815838198,-0.010960479815838198
virtue_character_psychology,virtue,Freedom Truth and Moral Teleology,false,positive character traits,valid_but_partial,natural_general,3,0.5162936708812998,0.747747753422387,-0.23145408254108712,-0.22612305481559503
virtue_character_psychology,virtue,Freedom Truth and Moral Teleology,false,positive character traits,valid_but_partial,natural_ambiguous,3,0.45821649440488804,0.4878860145416151,-0.029669520136727173,-0.05563989244174494
virtue_character_psychology,virtue,Freedom Truth and Moral Teleology,false,positive character traits,valid_but_partial,label_free_theological,3,0.7880348964995672,0.5233442366314074,0.26469065986815976,0.28261322111984644
virtue_character_psychology,virtue,Freedom Truth and Moral Teleology,false,positive character traits,valid_but_partial,explicit_catholic,3,0.873515372150702,0.4718650782385863,0.40165029391211565,0.4209966841004195
