query_id,audit_id,concept,condition,omitted_reference_count,full_cas,min_loro_cas,max_loro_cas,mean_loro_cas,max_absolute_cas_change,sign_stability_proportion
freedom_autonomy_bare_p1,freedom_autonomy,freedom,bare,6,-0.0730554689324947,-0.10314275515721788,-0.043326995291817105,-0.07305546893249468,0.030087286224723175,1.0
freedom_autonomy_natural_general_p1,freedom_autonomy,freedom,natural_general,6,-0.2658889224737572,-0.30292541657076827,-0.23016249024635765,-0.2658889224737572,0.03703649409701104,1.0
freedom_autonomy_natural_general_p2,freedom_autonomy,freedom,natural_general,6,-0.2467292523102118,-0.31471708235913487,-0.15827942421159957,-0.2467292523102118,0.08844982809861224,1.0
freedom_autonomy_natural_general_p3,freedom_autonomy,freedom,natural_general,6,-0.2696103839134776,-0.29812432628658886,-0.252885052600827,-0.26961038391347764,0.02851394237311128,1.0
freedom_autonomy_natural_ambiguous_p1,freedom_autonomy,freedom,natural_ambiguous,6,0.0769204993667316,0.05720369087818361,0.08746602584565732,0.07692049936673155,0.019716808488547996,1.0
freedom_autonomy_natural_ambiguous_p2,freedom_autonomy,freedom,natural_ambiguous,6,-0.0860000553346218,-0.10405509202713736,-0.06075748883057641,-0.0860000553346217,0.025242566504045383,1.0
freedom_autonomy_natural_ambiguous_p3,freedom_autonomy,freedom,natural_ambiguous,6,-0.0703854516210816,-0.09997822719295724,-0.04818282447699873,-0.07038545162108158,0.029592775571875632,1.0
freedom_autonomy_label_free_theological_p1,freedom_autonomy,freedom,label_free_theological,6,0.2650413851215781,0.24711154129413404,0.27989450947855304,0.26504138512157815,0.01792984382744406,1.0
freedom_autonomy_label_free_theological_p2,freedom_autonomy,freedom,label_free_theological,6,0.3105660649794108,0.2891101660700407,0.3259793922547019,0.3105660649794108,0.021455898909370108,1.0
freedom_autonomy_label_free_theological_p3,freedom_autonomy,freedom,label_free_theological,6,0.2464184783137937,0.21278046616450064,0.3041958470964176,0.24641847831379368,0.057777368782623906,1.0
freedom_autonomy_explicit_catholic_p1,freedom_autonomy,freedom,explicit_catholic,6,0.4723596351703555,0.45896611088488526,0.4867866236025614,0.4723596351703556,0.014426988432205912,1.0
freedom_autonomy_explicit_catholic_p2,freedom_autonomy,freedom,explicit_catholic,6,0.4932096148442836,0.4665366261962179,0.5117080760458887,0.49320961484428366,0.02667298864806572,1.0
