condition,concept_count,mean_s_c,mean_s_r,mean_cas,median_cas,cas_bootstrap_95_low,cas_bootstrap_95_high,positive_cas_count,positive_cas_proportion
bare,100,0.4679339629419683,0.50210019283414,-0.0341662298921717,-0.037230257425462945,-0.04499528716974611,-0.023106439308763178,25,0.25
natural_general,100,0.5166480302948625,0.7600127491043602,-0.2433647188094976,-0.24740573869309046,-0.2533028824653808,-0.2335771516716443,0,0.0
natural_ambiguous,100,0.48997745355093086,0.49631089471189577,-0.0063334411609648955,-0.008598015260875133,-0.012740240805357222,2.4098201230430275e-07,42,0.42
label_free_theological,100,0.8067353254979003,0.5224363922004401,0.2842989332974601,0.2773649301620449,0.27479326611371596,0.2941947355315022,100,1.0
explicit_catholic,100,0.8919483219527828,0.4693696718613246,0.42257865009145823,0.4219613708441171,0.411486180775344,0.43355022332655113,100,1.0
integrative,100,0.709445542799148,0.6756522393344206,0.03379330346472719,0.032169666704030785,0.0245020567422382,0.04263167953018087,70,0.7
critical,8,0.39659724948414543,0.41981618252504216,-0.023218933040896686,-0.030520466622280785,-0.05516345453284955,0.009228909888845695,3,0.375
