audit_id,concept,condition,paraphrase_count,mean_s_c,min_s_c,max_s_c,mean_s_r,min_s_r,max_s_r,mean_cas,min_cas,max_cas,cas_standard_deviation,positive_cas_proportion
freedom_autonomy,freedom,natural_general,3,0.46530968844191206,0.4554449494927869,0.4817615635159569,0.726052541341061,0.7213338719665442,0.7284908158261687,-0.2607428528991489,-0.2696103839134776,-0.2467292523102118,0.012277950558278213,0.0
freedom_autonomy,freedom,natural_ambiguous,3,0.42279301483423,0.374788472223821,0.5159112368133949,0.44928135069722064,0.4389907374466633,0.4607885275584428,-0.026488335862990597,-0.0860000553346218,0.0769204993667316,0.08989435112930402,0.3333333333333333
freedom_autonomy,freedom,label_free_theological,3,0.7688887450728807,0.7278567714979672,0.7988796623138271,0.4948801022679532,0.4628153863763891,0.5335113230930543,0.27400864280492754,0.2464184783137937,0.3105660649794108,0.0330005606244107,1.0
freedom_autonomy,freedom,explicit_catholic,3,0.8933638967743173,0.8859221008730923,0.8977383371594566,0.423166845994196,0.404528722315173,0.4409001985473677,0.4701970507801212,0.4450219023257246,0.4932096148442836,0.024166536530427492,1.0
freedom_autonomy,freedom,integrative,3,0.7061544526870582,0.6840689914825323,0.732819398237451,0.6146437808066695,0.593543686707495,0.6352676989773443,0.0915106718803888,0.0663072693638472,0.117699441502282,0.0257102518565233,1.0
autonomy_self_governance,autonomy,natural_general,3,0.5038522490760112,0.4964742434029404,0.5120134431382771,0.773287362939148,0.7709510871463033,0.776365236317562,-0.2694351138631368,-0.2760715219506383,-0.2643517931792849,0.0060122434233032445,0.0
autonomy_self_governance,autonomy,natural_ambiguous,3,0.4809100481137129,0.4324616438309183,0.5767353913574292,0.4994167555802549,0.4882204529038396,0.5088261579067774,-0.01850670746654187,-0.076364514075859,0.0885149384535896,0.0927853479189325,0.3333333333333333
autonomy_self_governance,autonomy,label_free_theological,3,0.801862136786966,0.7827799826454783,0.8203599689926828,0.5257696384462212,0.5204403990454862,0.534844215254742,0.2760924983407449,0.2479357673907363,0.2999195699471966,0.02626096712957653,1.0
autonomy_self_governance,autonomy,explicit_catholic,3,0.9230308831742349,0.9071938718288288,0.9319375367636654,0.4781090419958911,0.4677048170466268,0.4925383108498671,0.4449218411783437,0.4146555609789615,0.4622564238835836,0.026303652548194938,1.0
autonomy_self_governance,autonomy,integrative,3,0.720445757053834,0.7005703025460477,0.7491934855003279,0.6583122493995096,0.6338480191691166,0.6906616118903662,0.06213350765432424,0.0099086906556814,0.0987663683612819,0.046435477251337245,1.0
conscience_subjective_preference,conscience,natural_general,3,0.4877522448554415,0.4745079190239433,0.5090856593823199,0.800855174558509,0.7936976286503997,0.8097250958008569,-0.31310292970306736,-0.3194796430642086,-0.3006394364185371,0.010794675260966875,0.0
conscience_subjective_preference,conscience,natural_ambiguous,3,0.46815938612886493,0.442885474761085,0.516369426799792,0.4915047740743011,0.4842929650873263,0.4961598876494923,-0.02334538794543617,-0.0511759947249997,0.0320764617124657,0.04799687894432939,0.3333333333333333
conscience_subjective_preference,conscience,label_free_theological,3,0.8257938336295741,0.7895296688184074,0.8461886663891572,0.5066068028472989,0.4850211429918167,0.531984545886799,0.3191870307822752,0.2575451229316083,0.3566420226893408,0.053794089475941914,1.0
conscience_subjective_preference,conscience,explicit_catholic,3,0.8938024772488911,0.8820301588980061,0.9012419505754344,0.457052312540126,0.4378573463656592,0.4760083116717259,0.436750164708765,0.4060218472262801,0.4633846042097753,0.02889967733180223,1.0
conscience_subjective_preference,conscience,integrative,3,0.6681060292965832,0.6394665591069505,0.7179018597765463,0.707604707227237,0.6950350919089611,0.7195488469909078,-0.0394986779306537,-0.0725991779846548,0.0228667678675852,0.054044097655762485,0.3333333333333333
responsibility_legal,responsibility,natural_general,3,0.5104793253297438,0.4870092213152051,0.5461362109057647,0.7081549224185507,0.6866493994116104,0.7194927676889176,-0.19767559708880675,-0.2212002239206557,-0.1721863892493593,0.02456590485200691,0.0
responsibility_legal,responsibility,natural_ambiguous,3,0.48191799656412976,0.4138276728871219,0.596057287444714,0.46201892683423473,0.4565617330124993,0.4662907536784577,0.019899069729895063,-0.0427340601253773,0.1297665337662562,0.09545902507039154,0.3333333333333333
responsibility_legal,responsibility,label_free_theological,3,0.821358931659201,0.8074061303164335,0.8304901091445172,0.5004547692822902,0.4788109500607467,0.5395889169752283,0.32090416237691083,0.2678172133412052,0.3516791590837704,0.04616897116544578,1.0
responsibility_legal,responsibility,explicit_catholic,3,0.9106931400375226,0.8929894983568349,0.9222915185347964,0.4727367671805613,0.4560241193333955,0.4944885206220726,0.43795637285696115,0.3985009777347623,0.4662673992014007,0.03523094784687949,1.0
responsibility_legal,responsibility,integrative,3,0.7490633698862013,0.7164638254677919,0.7881658408767857,0.6184654559193589,0.5990338318109371,0.6464706158902516,0.1305979139668424,0.0960898274237749,0.1891320090658486,0.05096222823353281,1.0
happiness_subjective_wellbeing,happiness,natural_general,3,0.41507897974287866,0.3829009021102807,0.4503816994869276,0.6952357357601149,0.6771922310464328,0.7082710174953005,-0.2801567560172362,-0.2963166798638729,-0.2498622592516838,0.0262553406434511,0.0
happiness_subjective_wellbeing,happiness,natural_ambiguous,3,0.4397310544462207,0.3742723153016192,0.5508757001988741,0.47276107505377,0.4543203782910541,0.4841080611614307,-0.03303002060754933,-0.105582470407206,0.0965553219078199,0.11249215487819415,0.3333333333333333
happiness_subjective_wellbeing,happiness,label_free_theological,3,0.782553586091088,0.7554624830510283,0.8006518397284594,0.4720945436603068,0.4451364636351366,0.5052224080857575,0.31045904243078115,0.2502400749652708,0.3555153760933228,0.05425081893190834,1.0
happiness_subjective_wellbeing,happiness,explicit_catholic,3,0.8636998603089667,0.8437935573552338,0.8780556983868569,0.36561462128478767,0.3441105818897994,0.3878872150281618,0.49808523902417906,0.4559063423270719,0.5339451164970574,0.03940126992186459,1.0
happiness_subjective_wellbeing,happiness,integrative,3,0.6766244087839902,0.6556699231652746,0.7162409566325295,0.6026873562212629,0.5801095154277564,0.6236438125304589,0.07393705256272727,0.0320261106348157,0.111932215926956,0.04009671317027746,1.0
flourishing_psychological,flourishing,natural_general,3,0.5445077425140549,0.5165712768581717,0.5682193861085952,0.7462815497417153,0.7294443072593239,0.7635409220981825,-0.2017738072276604,-0.2128730304011521,-0.1953215359895872,0.009654499507347121,0.0
