locus,concept,concept_type,ambiguity_level,bare_cas,bare_top_catholic_rate,bare_query_count,ordinary_cas,ordinary_top_catholic_rate,ordinary_query_count,academic_cas,academic_top_catholic_rate,academic_query_count,catholic_cas,catholic_top_catholic_rate,catholic_query_count,bare_to_catholic_shift,ordinary_to_catholic_shift,academic_to_catholic_shift,default_cas,default_to_catholic_shift
Freedom Truth and Moral Teleology,authority,moral_social,high,0.03502771258354187,1.0,1,0.02450956404209137,1.0,3,0.06891259849071502,1.0,3,0.11848936875661213,1.0,3,0.08346165617307026,0.09397980471452076,0.049576770265897116,0.02976863831281662,0.08872073044379551
Freedom Truth and Moral Teleology,autonomy,moral_anthropological,high,-0.24658603668212892,0.0,1,-0.12594927450021107,0.0,3,-0.10933511058489483,0.3333333333333333,3,-0.011003784338633213,0.6666666666666666,3,0.2355822523434957,0.11494549016157786,0.09833132624626162,-0.18626765559116998,0.17526387125253676
Freedom Truth and Moral Teleology,beatitude,eschatological_moral,low,0.01693127155303953,1.0,1,0.043288787206014,1.0,3,0.06145904858907064,1.0,3,0.10213588078816734,1.0,3,0.0852046092351278,0.058847093582153336,0.040676832199096694,0.030110029379526764,0.07202585140864057
Freedom Truth and Moral Teleology,commandment,biblical_moral,medium,0.0050334632396698,1.0,1,0.06786242723464969,1.0,3,0.07437686224778495,1.0,3,0.04631406764189402,1.0,3,0.04128060440222422,-0.021548359592755674,-0.02806279460589093,0.036447945237159746,0.009866122404734272
Freedom Truth and Moral Teleology,discernment,spiritual_moral,medium,0.042575055360794034,1.0,1,0.11265693008899691,1.0,3,0.11164175868034364,1.0,3,0.1731852521498998,1.0,3,0.13061019678910576,0.06052832206090289,0.06154349346955616,0.07761599272489547,0.09556925942500433
Freedom Truth and Moral Teleology,divine law,moral_theology,low,-0.013308471441268954,1.0,1,0.02054105500380199,1.0,3,0.029570584495862324,1.0,3,0.008053456743558248,1.0,3,0.021361928184827204,-0.01248759826024374,-0.021517127752304077,0.0036162917812665174,0.004437164962291731
Freedom Truth and Moral Teleology,duties,social_moral,high,-0.10045503377914428,0.0,1,-0.002432236572106672,1.0,3,0.04600798388322195,0.6666666666666666,3,0.12417086263497668,1.0,3,0.22462589641412095,0.12660309920708335,0.07816287875175473,-0.051443635175625474,0.17561449781060215
Freedom Truth and Moral Teleology,flourishing,teleological_social,high,-0.13842968940734862,0.0,1,-0.05658882558345794,0.0,3,-0.043465634187062584,0.0,3,0.09839650690555574,1.0,3,0.23682619631290436,0.15498533248901367,0.14186214109261833,-0.09750925749540328,0.19590576440095903
Freedom Truth and Moral Teleology,fortitude,virtue,medium,-0.025909322500228815,0.0,1,0.050651127099990846,1.0,3,0.05986844897270203,1.0,3,0.11233422160148625,1.0,3,0.13824354410171508,0.0616830945014954,0.05246577262878422,0.012370902299881015,0.09996331930160524
Freedom Truth and Moral Teleology,freedom,moral_anthropological,high,-0.05732033848762513,1.0,1,-0.04887016018231708,1.0,3,-0.003951964775721221,1.0,3,0.09703213572502135,1.0,3,0.15435247421264647,0.14590229590733844,0.10098410050074258,-0.053095249334971104,0.15012738505999246
Freedom Truth and Moral Teleology,happiness,teleological_anthropological,high,-0.18342101573944086,0.0,1,-0.11404913266499837,0.0,3,-0.07285297016302744,0.0,3,0.09202190140883126,1.0,3,0.2754429171482721,0.20607103407382965,0.1648748715718587,-0.14873507420221962,0.2407569756110509
Freedom Truth and Moral Teleology,holiness,spiritual_moral,medium,-0.06020696163177491,0.0,1,0.01324834525585176,0.3333333333333333,3,0.01456573804219563,0.3333333333333333,3,0.04961365908384324,0.3333333333333333,3,0.10982062071561816,0.036365313827991484,0.03504792104164761,-0.023479308187961578,0.07309296727180482
Freedom Truth and Moral Teleology,justice,virtue_social,high,-0.03821064233779908,0.0,1,-0.025387514630953473,0.0,3,0.013179611166318236,0.3333333333333333,3,0.05847460130850474,1.0,3,0.09668524364630382,0.0838621159394582,0.0452949901421865,-0.03179907848437628,0.090273679792881
Freedom Truth and Moral Teleology,liberation,moral_soteriological,high,-0.06989770531654355,0.0,1,-0.039832242329915356,0.0,3,-0.01123296022415162,0.3333333333333333,3,0.10046705106894177,0.6666666666666666,3,0.17036475638548532,0.14029929339885713,0.11170001129309338,-0.054864973823229454,0.15533202489217124
Freedom Truth and Moral Teleology,license,moral_juridical,high,-0.24830673933029174,0.0,1,-0.06406814853350322,0.0,3,-0.0802443563938141,0.3333333333333333,3,-0.05323491990566254,0.3333333333333333,3,0.1950718194246292,0.010833228627840683,0.02700943648815156,-0.15618744393189748,0.10295252402623495
Freedom Truth and Moral Teleology,moral law,moral_theology,medium,-0.05604851245880127,0.0,1,-0.020302296678225196,0.3333333333333333,3,0.010779894391695669,0.3333333333333333,3,0.03138481378555297,0.3333333333333333,3,0.08743332624435424,0.05168711046377816,0.0206049193938573,-0.03817540456851323,0.0695602183540662
Freedom Truth and Moral Teleology,moral truth,moral_theology,high,-0.0013029038906097745,1.0,1,0.012864549954732277,0.0,3,0.03963403801123302,0.6666666666666666,3,0.06737697223822277,1.0,3,0.06867987612883254,0.05451242228349049,0.02774293422698975,0.005780823032061251,0.061596149206161514
Freedom Truth and Moral Teleology,natural law,moral_theology,medium,0.019091010093688965,1.0,1,0.05753668944040935,1.0,3,0.06565020084381103,1.0,3,0.06193324327468871,1.0,3,0.04284223318099974,0.004396553834279358,-0.0037169575691223186,0.03831384976704916,0.02361939350763955
Freedom Truth and Moral Teleology,obedience,moral_spiritual,high,-0.0335163235664368,0.0,1,0.011473264296849564,0.0,3,0.03265516211589178,0.0,3,0.10125019053618116,0.0,3,0.13476651410261797,0.08977692623933159,0.06859502842028939,-0.011021529634793619,0.11227172017097478
Freedom Truth and Moral Teleology,prudence,virtue,medium,-0.007190072536468528,1.0,1,0.08360694448153176,0.6666666666666666,3,0.0963141729434331,1.0,3,0.12536809692780176,1.0,3,0.1325581694642703,0.04176115244627,0.029053923984368665,0.03820843597253162,0.08715966095527014
Freedom Truth and Moral Teleology,responsibility,moral_anthropological,high,-0.12256250977516175,0.0,1,-0.057916430632273364,0.0,3,-0.0026385913292567196,0.0,3,0.09360377391179403,1.0,3,0.21616628368695578,0.1515202045440674,0.09624236524105075,-0.09023947020371756,0.1838432441155116
Freedom Truth and Moral Teleology,rights,social_doctrine,high,-0.06983924508094785,0.0,1,0.01835087041060131,1.0,3,0.022637707988421112,1.0,3,0.04616674482822419,1.0,3,0.11600598990917205,0.02781587441762288,0.02352903683980308,-0.025744187335173273,0.07191093216339747
Freedom Truth and Moral Teleology,temperance,virtue,medium,-0.10283768177032471,0.0,1,0.0017255693674087709,1.0,3,-0.004436968763669317,1.0,3,0.019816294312477094,1.0,3,0.1226539760828018,0.018090724945068325,0.024253263076146413,-0.05055605620145797,0.07037235051393506
Freedom Truth and Moral Teleology,truth,epistemological_moral,high,0.036305275559425365,1.0,1,0.0834496776262919,1.0,3,0.12967007358868918,1.0,3,0.18475960890452062,1.0,3,0.14845433334509525,0.10130993127822872,0.05508953531583144,0.05987747659285863,0.12488213231166198
Freedom Truth and Moral Teleology,virtue,moral_theology,medium,-0.11520917117595669,0.0,1,-0.033448728919029246,0.6666666666666666,3,-0.010285214583079036,0.3333333333333333,3,0.02838838696479797,1.0,3,0.14359755814075467,0.06183711588382722,0.038673601547877,-0.07432895004749297,0.10271733701229094
Human Dignity and Theological Anthropology,body,anthropological,high,-0.07771286964416507,0.0,1,-0.026733608047167456,0.3333333333333333,3,-0.007510398825009664,0.3333333333333333,3,0.08622675736745199,1.0,3,0.16393962701161707,0.11296036541461944,0.09373715619246165,-0.052223238845666264,0.13844999621311826
Human Dignity and Theological Anthropology,common good,social_doctrine,medium,0.020763254165649392,1.0,1,0.06975838442643484,1.0,3,0.08575230439503988,1.0,3,0.07957149545351665,1.0,3,0.058808241287867255,0.009813111027081808,-0.00618080894152323,0.045260819296042115,0.03431067615747453
Human Dignity and Theological Anthropology,community,social_anthropological,high,-0.07410856485366818,0.0,1,0.012219565113385511,1.0,3,0.05366548796494802,1.0,3,0.17198973695437114,1.0,3,0.24609830180803932,0.15977017184098563,0.11832424898942312,-0.030944499870141334,0.20293423682451248
Human Dignity and Theological Anthropology,conscience,moral_anthropological,high,-0.015387761592864979,1.0,1,-0.02025098403294882,1.0,3,0.03754193286101024,1.0,3,0.0695691799124082,1.0,3,0.08495694150527318,0.08982016394535702,0.03202724705139796,-0.0178193728129069,0.0873885527253151
Human Dignity and Theological Anthropology,creation,doctrinal_cosmological,high,0.05061817169189453,0.0,1,0.09789881507555642,1.0,3,0.12414262145757676,1.0,3,0.17276217689116793,1.0,3,0.1221440051992734,0.07486336181561151,0.04861955543359117,0.07425849338372548,0.09850368350744246
Human Dignity and Theological Anthropology,creatureliness,anthropological_doctrinal,low,-0.03707602024078366,0.0,1,0.016866825024286897,0.0,3,0.04232571224371593,0.0,3,0.09166895151138306,0.3333333333333333,3,0.1287449717521667,0.07480212648709617,0.04934323926766713,-0.01010459760824838,0.10177354911963143
